Product Code,Product Name,Short Description ,List Price
ECP-MFA-500-4Y,4-Year EssentialCare+,"For MediaFast 500 - includes IC2, 24/7 email ticket support, and AHR","$4,197.00"
SVL-773,1-Year EssentialCare ,For MediaFast 500 - includes IC2 subscription,"$1,019.00"
SVL-673,2-Year EssentialCare ,For MediaFast 500 - includes IC2 subscription,"$1,979.00"
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
<MediaFast 500 Licenses & Warranties (click the + to open),,,
MFA-750-B,MediaFast 750,Caching Router for School or Campus,"$7,999.00"
ECP-MFA-750-1Y,1-Year EssentialCare+,"For MediaFast 750 - includes IC2, 24/7 email ticket support, and AHR","$1,999.00"
ECP-MFA-750-2Y,2-Year EssentialCare+,"For MediaFast 750 - includes IC2, 24/7 email ticket support, and AHR","$3,398.00"
ECP-MFA-750-4Y,4-Year EssentialCare+,"For MediaFast 750 - includes IC2, 24/7 email ticket support, and AHR","$5,597.00"
SVL-779,1-Year EssentialCare ,For MediaFast 750 - includes IC2 subscription,"$1,359.00"
SVL-679,2-Year EssentialCare ,For MediaFast 750 - includes IC2 subscription,"$2,639.00"
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
<MediaFast 750 Licenses & Warranties (click the + to open),,,
MAX-HD2-MFA-LTEA-W-T,Peplink HD2 LTEA MF,LTEA Cellular Caching Router For Americas/EMEA,"$4,099.00"
FIPS-LC-HD2-MFA,FIPS License,FIPS License for HD2-MFA,"$1,650.00"
MFA-HD2-LC-SF,SpeedFusion Bonding Key,SpeedFusion Bonding License MAX HD2 MediaFast,"$1,000.00"
ECP-MAX-HD2-MFA-LTEA-1Y,1-Year EssentialCare+,"For HD2 LTEA MediaFast - includes IC2, 24/7 email ticket support, and AHR",$999.00 
ECP-MAX-HD2-MFA-LTEA-2Y,2-Year EssentialCare+,"For HD2 LTEA MediaFast - includes IC2, 24/7 email ticket support, and AHR","$1,698.00 "
ECP-MAX-HD2-MFA-LTEA-4Y,4-Year EssentialCare+,"For HD2 LTEA MediaFast - includes IC2, 24/7 email ticket support, and AHR","$2,601 "
SVL-434,1-Year EssentialCare ,For HD2 LTEA MediaFast - includes IC2 subscription,$699.00
SVL-534,2-Year EssentialCare ,For HD2 LTEA MediaFast - includes IC2 subscription,"$1,299.00"
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
<HD2 MediaFast Licenses & Warranties (click the + to open),,,
MAX-HD4-MFA-LTEA-W-T,Peplink HD4 LTEA MF,LTEA Cellular Caching Router For Americas/EMEA  ,"$6,999.00"
FIPS-LC-HD4-MFA,FIPS License,FIPS License for HD4-MFA,"$2,700.00"
MAX-HD4-LC-5WAN,WAN Port Activation ,5 WAN Port Activation License ,"$1,000.00"
MFA-HD4-LC-SF,SpeedFusion Bonding Key,SpeedFusion Bonding License MAX HD4 MediaFast,"$1,300.00"
MAX-HD-020-SPF,SpeedFusion 20 Peers,PepVPN/Speedfusion 20 Peers License,$999.00
ECP-MAX-HD4-MFA-LTEA-1Y,1-Year EssentialCare+,"For HD4 LTEA MediaFast - includes IC2, 24/7 email ticket support, and AHR","$1,799.00"
ECP-MAX-HD4-MFA-LTEA-2Y,2-Year EssentialCare+,"For HD4 LTEA MediaFast - includes IC2, 24/7 email ticket support, and AHR","$3,058.00"
ECP-MAX-HD4-MFA-LTEA-4Y,4-Year EssentialCare+,"For HD4 LTEA MediaFast - includes IC2, 24/7 email ticket support, and AHR","$5,037.00"
SVL-435,1-Year EssentialCare ,For HD4 LTEA MediaFast - includes IC2 subscription,"$1,199.00"
SVL-535,2-Year EssentialCare ,For HD4 LTEA MediaFast - includes IC2 subscription,"$2,299.00"
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
<HD4 MediaFast Licenses & Warranties (click the + to open),,,
Peplink Modular SD-WAN Platforms,,,
EPX-M8,Barebone Chassis,EPX Chassis with LCD Module,"$19,999.00"
ECP-EPX-M8-1Y,1-Year EssentialCare+,"For EPX  - includes IC2 subscription, 24/7 email ticket support, and AHR","$7,029.00"
ECP-EPX-M8-2Y,2-Year EssentialCare+,"For EPX  - includes IC2 subscription, 24/7 email ticket support, and AHR","$11,949.00"
ECP-EPX-M8-4Y,4-Year EssentialCare+,"For EPX  - includes IC2 subscription, 24/7 email ticket support, and AHR","$19,681.00"
LIC-25VWAN-LG,Virtual WAN Activation License,For EPX,"$4,999.00"
SVL-506,1-Year EssentialCare,For EPX  - includes IC2 subscription,"$3,600.00"
SVL-508,2-Year EssentialCare,For EPX  - includes IC2 subscription,"$6,800.00"
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
<EPX Licenses & Warranties (click the + to open),,,
BPL-SDX,Base SDX Platform,"2x GbE WAN, 2x 10GbE SFP, 8x GbE LAN, 2x USB WAN","$4,999.00"
BPL-SDX-PRO-M2,Balance SDX Pro,"2x 1GbE WAN Ports, 2x 10GbE SFP WAN ports, 2x USB WAN","$6,499.00"
BPL-SDX-PRO-M2-1TB,Balance SDX Pro - 1TB SSD,"2x 1GbE WAN Ports, 2x 10GbE SFP WAN ports, 2x USB WAN","$6,699.00"
BPL-SDX-PRO-M2-2TB,Balance SDX Pro - 2TB SSD,"2x 1GbE WAN Ports, 2x 10GbE SFP WAN ports, 2x USB WAN","$7,099.00"
